city,east,north,south,west,lat,lng
"MADISON, MS",-89.99536379999999,32.5018086,32.4218086,-90.2353638,32.4618086,-90.1153638
"MIDDLEBURG, FL",-81.74037779999999,30.1088512,30.028851200000002,-81.9803778,30.0688512,-81.8603778
"PHARR, TX",-98.06362159999999,26.234796199999998,26.1547962,-98.3036216,26.1947962,-98.1836216
"HUDSON, FL",-82.57343429999999,28.4044485,28.324448500000003,-82.8134343,28.3644485,-82.69343429999999
"WESTMINSTER, CA",-117.86970579999999,33.7991757,33.7191757,-118.1097058,33.7591757,-117.9897058
"HAMPTON, GA",-84.16292829999999,33.4268687,33.3468687,-84.4029283,33.3868687,-84.2829283
"LONGWOOD, FL",-81.2184011,28.743051899999998,28.6630519,-81.4584011,28.7030519,-81.3384011
"REDLANDS, CA",-117.0625381,34.0955693,34.0155693,-117.3025381,34.0555693,-117.1825381
"OREM, UT",-111.5746475,40.3368979,40.2568979,-111.8146475,40.2968979,-111.6946475
"EL DORADO HILLS, CA",-120.962167,38.7257367,38.6457367,-121.202167,38.6857367,-121.082167
"VIENNA, VA",-77.1452604,38.9412225,38.861222500000004,-77.3852604,38.9012225,-77.2652604,
"SEBRING, FL"
"CARLISLE, PA",-77.08027449999999,40.2410241,40.1610241,-77.3202745,40.2010241,-77.20027449999999
"CLEARFIELD, UT",-111.9060538,41.1507771,41.0707771,-112.1460538,41.1107771,-112.0260538
